epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,3203.81,0.74305,1.843,0.16431,0.47943,0.95464,0.93606,0.91002,0.96694,0.7477,0.91502,0.88957,0.93637,0.59433,0.91329,1.82729,0.06548,0.58258,0.97366,0.000808828,0.000808828,0.000808828
28,3317.88,0.71786,1.8059,0.16046,0.46189,0.94733,0.88065,0.90031,0.95227,0.72583,0.90009,0.82909,0.91323,0.5714,0.93108,1.89989,0.06655,0.63768,0.97627,0.000775822,0.000775822,0.000775822
29,3431.71,0.71399,1.81155,0.16281,0.46586,0.94471,0.91268,0.94757,0.97338,0.73878,0.90517,0.91093,0.93957,0.60941,0.93227,1.80856,0.06312,0.55777,0.98109,0.000742815,0.000742815,0.000742815
30,3545.38,0.71178,1.77675,0.16105,0.45625,0.94155,0.90697,0.92378,0.96717,0.74648,0.92187,0.87117,0.93788,0.61601,0.91686,1.76729,0.06561,0.59664,0.96878,0.000709809,0.000709809,0.000709809
31,3659.03,0.70075,1.71873,0.16142,0.45513,0.93617,0.93532,0.90048,0.96134,0.7412,0.91797,0.8773,0.93209,0.61427,0.93757,1.81297,0.06399,0.61035,0.97787,0.000676802,0.000676802,0.000676802
32,3773.47,0.69894,1.69909,0.15643,0.4485,0.9352,0.90128,0.89639,0.95834,0.74019,0.89286,0.85774,0.92893,0.60907,0.92796,1.82831,0.06356,0.63197,0.97848,0.000643795,0.000643795,0.000643795
33,3885.65,0.68074,1.65555,0.15798,0.44744,0.93049,0.94688,0.91139,0.97095,0.75472,0.94223,0.88616,0.94067,0.62718,0.89307,1.74259,0.06234,0.56226,0.96268,0.000610789,0.000610789,0.000610789
34,4001.66,0.68332,1.63969,0.15595,0.44177,0.9297,0.92728,0.89707,0.9675,0.74529,0.92974,0.86602,0.942,0.62626,0.91938,1.70775,0.0644,0.60029,0.97089,0.000577782,0.000577782,0.000577782
35,4113.85,0.67017,1.6267,0.1581,0.43791,0.92483,0.93343,0.90798,0.97027,0.74526,0.92695,0.87361,0.93704,0.6062,0.9078,1.72601,0.06154,0.55559,0.96812,0.000544776,0.000544776,0.000544776
36,4229.5,0.66974,1.5947,0.15595,0.43045,0.92699,0.92767,0.90047,0.96045,0.75426,0.90974,0.8794,0.93533,0.64034,0.90318,1.72328,0.06383,0.61183,0.9597,0.000511769,0.000511769,0.000511769
37,4346.4,0.65169,1.55077,0.15059,0.42791,0.91788,0.94926,0.87998,0.96029,0.74286,0.93249,0.86162,0.93219,0.6145,0.89826,1.74432,0.06183,0.59405,0.96284,0.000478762,0.000478762,0.000478762
38,4463.24,0.64372,1.5407,0.15564,0.41846,0.91901,0.88477,0.93661,0.96035,0.74879,0.89669,0.87866,0.92879,0.61856,0.90002,1.7549,0.06325,0.5893,0.96615,0.000445756,0.000445756,0.000445756
39,4575.21,0.63605,1.49073,0.14874,0.41935,0.91608,0.87973,0.93933,0.94634,0.7354,0.86893,0.91002,0.91623,0.59646,0.88887,1.76091,0.06195,0.62284,0.96581,0.000412749,0.000412749,0.000412749
40,4690.15,0.62927,1.49905,0.14955,0.41118,0.91173,0.91158,0.87389,0.95204,0.74545,0.9086,0.84526,0.92572,0.61794,0.90165,1.76291,0.06201,0.65808,0.9727,0.000379743,0.000379743,0.000379743
41,4804.09,0.56628,1.06718,0.06485,0.36035,0.88632,0.88674,0.93183,0.95675,0.74624,0.88157,0.89571,0.93485,0.63662,0.89844,1.70839,0.05987,0.61094,0.96298,0.000346736,0.000346736,0.000346736
42,4917.38,0.54905,1.02664,0.06421,0.35399,0.88329,0.90358,0.91479,0.95439,0.74086,0.91805,0.86639,0.92764,0.62006,0.90119,1.72148,0.05868,0.60897,0.96537,0.000313729,0.000313729,0.000313729
43,5032.79,0.53625,1.00121,0.0612,0.3483,0.87784,0.89488,0.9107,0.95188,0.746,0.91226,0.86469,0.9293,0.63219,0.89759,1.71411,0.05894,0.63767,0.96274,0.000280723,0.000280723,0.000280723
44,5302.77,0.52352,0.94978,0.06018,0.34013,0.8722,0.92622,0.90525,0.95583,0.75475,0.9119,0.89093,0.93475,0.64056,0.8782,1.7137,0.05731,0.5965,0.95687,0.000247716,0.000247716,0.000247716
45,5420.78,0.51493,0.94381,0.06034,0.33763,0.86857,0.92654,0.88548,0.95576,0.74799,0.92135,0.8698,0.93359,0.63667,0.88486,1.70769,0.05779,0.61043,0.96163,0.00021471,0.00021471,0.00021471
46,5537.46,0.50493,0.92455,0.05846,0.33072,0.86245,0.89742,0.91837,0.95616,0.74909,0.91358,0.86639,0.93145,0.64044,0.8902,1.69878,0.05715,0.62207,0.96678,0.000181703,0.000181703,0.000181703
47,5653.24,0.49419,0.89359,0.05885,0.32185,0.86229,0.92494,0.89876,0.95677,0.74807,0.90733,0.87798,0.93236,0.64497,0.8989,1.67221,0.05712,0.60536,0.96436,0.000148696,0.000148696,0.000148696
48,5769.67,0.48732,0.87309,0.05643,0.31966,0.85984,0.92834,0.90116,0.96075,0.75785,0.91201,0.88319,0.93668,0.65272,0.87813,1.68687,0.05723,0.59262,0.95706,0.00011569,0.00011569,0.00011569
49,5886.41,0.47764,0.87391,0.05641,0.31397,0.85626,0.9367,0.8923,0.95583,0.75381,0.91738,0.87389,0.93159,0.6459,0.8887,1.70139,0.05682,0.60812,0.9662,8.26832e-05,8.26832e-05,8.26832e-05
50,6002.43,0.47222,0.84572,0.05801,0.30976,0.85406,0.92392,0.90593,0.95791,0.75796,0.90843,0.88275,0.93327,0.64982,0.88121,1.70249,0.05699,0.59952,0.96198,4.96766e-05,4.96766e-05,4.96766e-05
