epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,468.473,0.47217,1.06078,0.09989,0.32674,0.83355,0.98268,0.95556,0.9834,0.83534,0.98243,0.93204,0.9683,0.62158,0.71942,1.82574,0.01014,0.38201,0.89494,0.000808828,0.000808828,0.000808828
28,485.8,0.46068,0.98335,0.08922,0.31498,0.82888,0.98255,0.93832,0.97761,0.83865,0.97673,0.93276,0.96645,0.61675,0.72843,1.90606,0.01161,0.38773,0.90839,0.000775822,0.000775822,0.000775822
29,503.257,0.48118,0.97855,0.09851,0.32746,0.83398,0.99401,0.92258,0.97738,0.81514,0.98418,0.92222,0.95783,0.61612,0.74185,1.90007,0.01007,0.37946,0.90265,0.000742815,0.000742815,0.000742815
30,520.273,0.48368,1.02246,0.10296,0.32534,0.84563,0.97197,0.93889,0.97209,0.81983,0.98267,0.89444,0.95509,0.60938,0.76598,1.90438,0.00933,0.40242,0.92216,0.000709809,0.000709809,0.000709809
31,537.319,0.46838,1.0298,0.0981,0.32251,0.84091,0.97825,0.94444,0.9778,0.82897,0.98798,0.91299,0.95685,0.60282,0.75425,1.92574,0.01134,0.38515,0.90794,0.000676802,0.000676802,0.000676802
32,554.663,0.45076,0.98438,0.09267,0.31506,0.82443,0.98254,0.93805,0.98211,0.83779,0.99363,0.92778,0.96842,0.60461,0.70901,1.9016,0.01116,0.36775,0.89471,0.000643795,0.000643795,0.000643795
33,571.959,0.46589,1.01259,0.0998,0.31336,0.83684,0.99921,0.93333,0.98714,0.83928,0.98129,0.91667,0.95917,0.61462,0.70961,1.89468,0.01017,0.39302,0.88986,0.000610789,0.000610789,0.000610789
34,589.137,0.46502,0.9739,0.09213,0.31645,0.83369,0.98846,0.95198,0.99116,0.85566,0.96998,0.93333,0.9654,0.61758,0.69305,1.89025,0.01002,0.39357,0.88945,0.000577782,0.000577782,0.000577782
35,606.417,0.45245,0.92206,0.1024,0.31113,0.83078,0.99332,0.95556,0.98806,0.85214,0.95971,0.92625,0.95033,0.60179,0.71546,1.92064,0.01155,0.39203,0.89525,0.000544776,0.000544776,0.000544776
36,623.566,0.43448,0.91016,0.09949,0.3001,0.82256,0.9885,0.95522,0.97992,0.83906,0.97124,0.93812,0.96533,0.61338,0.75107,1.86729,0.01263,0.37813,0.90548,0.000511769,0.000511769,0.000511769
37,640.77,0.42758,0.83573,0.10124,0.29582,0.81947,0.98843,0.94961,0.98022,0.84108,0.98829,0.93797,0.9727,0.6246,0.73423,1.85135,0.01196,0.3747,0.89088,0.000478762,0.000478762,0.000478762
38,658.126,0.43742,0.88582,0.09619,0.29655,0.82438,0.99026,0.95556,0.98007,0.83721,0.9818,0.92778,0.96698,0.61568,0.73536,1.86858,0.01054,0.35397,0.88978,0.000445756,0.000445756,0.000445756
39,675.343,0.41971,0.81289,0.08997,0.29173,0.81837,0.98836,0.94308,0.97888,0.84036,0.986,0.93333,0.96899,0.62295,0.729,1.83064,0.01111,0.36517,0.88763,0.000412749,0.000412749,0.000412749
40,692.477,0.41917,0.83682,0.10505,0.29762,0.83024,0.99418,0.94938,0.98421,0.85222,0.98159,0.93333,0.96785,0.62094,0.70659,1.83893,0.01159,0.35545,0.88786,0.000379743,0.000379743,0.000379743
41,709.534,0.35508,0.50661,0.01187,0.23749,0.78843,0.98293,0.95943,0.98385,0.82701,0.99317,0.94444,0.97421,0.61496,0.721,1.81055,0.01012,0.36393,0.89575,0.000346736,0.000346736,0.000346736
42,726.539,0.35009,0.49471,0.01013,0.24059,0.79048,0.98688,0.97222,0.9833,0.81931,0.98233,0.92637,0.95567,0.59846,0.72907,1.85519,0.00942,0.36277,0.90391,0.000313729,0.000313729,0.000313729
43,743.743,0.33595,0.4678,0.00842,0.23394,0.78068,0.99427,0.96472,0.99017,0.8422,0.97479,0.92778,0.96224,0.62007,0.70816,1.8555,0.0078,0.37133,0.89537,0.000280723,0.000280723,0.000280723
44,760.624,0.32899,0.45768,0.00714,0.23369,0.77056,0.98866,0.96846,0.98818,0.83996,0.9753,0.93889,0.96146,0.6156,0.72214,1.84117,0.00651,0.36609,0.89711,0.000247716,0.000247716,0.000247716
45,777.293,0.3217,0.44494,0.00635,0.22721,0.78497,0.98869,0.97125,0.98791,0.83265,0.97698,0.94299,0.96024,0.61548,0.72343,1.84728,0.00605,0.35812,0.89437,0.00021471,0.00021471,0.00021471
46,794.362,0.31777,0.42709,0.00628,0.22242,0.79115,0.98842,0.97222,0.98572,0.84886,0.97699,0.94359,0.97071,0.62566,0.70578,1.81155,0.00577,0.35166,0.88885,0.000181703,0.000181703,0.000181703
47,811.386,0.30676,0.41778,0.00586,0.21705,0.78093,0.99286,0.96667,0.98839,0.84615,0.97698,0.94333,0.97109,0.62992,0.71371,1.80257,0.00558,0.35242,0.8902,0.000148696,0.000148696,0.000148696
48,828.256,0.28851,0.40523,0.00544,0.21109,0.77518,0.99164,0.96667,0.99117,0.84632,0.98661,0.93889,0.97676,0.63186,0.708,1.82166,0.00549,0.3583,0.89049,0.00011569,0.00011569,0.00011569
49,845.472,0.29553,0.40939,0.00637,0.21492,0.78361,0.98496,0.96667,0.9857,0.84682,0.98264,0.94326,0.9764,0.62933,0.702,1.83515,0.00526,0.34909,0.88962,8.26832e-05,8.26832e-05,8.26832e-05
50,862.505,0.28969,0.39502,0.0061,0.20823,0.78048,0.98545,0.96667,0.98354,0.84382,0.98161,0.93889,0.97653,0.62781,0.70389,1.83566,0.00525,0.35006,0.89118,4.96766e-05,4.96766e-05,4.96766e-05
